bundle_idx,origin_id,destination_id,node_id,point_number,point_type
1,211200112,57844131,57844131,1,destination
1,211200112,57844131,230856687,2,other
1,211200112,57844131,918544568,3,other
1,211200112,57844131,53657788,4,other
1,211200112,57844131,188609814,5,other
1,211200112,57844131,672120753,6,other
1,211200112,57844131,144964080,7,other
1,211200112,57844131,918209348,8,other
1,211200112,57844131,918544568,9,other
1,211200112,57844131,53657788,10,other
1,211200112,57844131,211200112,11,origin
2,834078589,483561169,483561169,1,destination
2,834078589,483561169,230856687,2,other
2,834078589,483561169,918544568,3,other
2,834078589,483561169,53657788,4,other
2,834078589,483561169,188609814,5,other
2,834078589,483561169,832722601,6,other
2,834078589,483561169,387175347,7,other
2,834078589,483561169,834078589,8,origin
3,24534301,57844131,57844131,1,destination
3,24534301,57844131,230856687,2,other
3,24534301,57844131,918544568,3,other
3,24534301,57844131,53657788,4,other
3,24534301,57844131,188609814,5,other
3,24534301,57844131,832722601,6,other
3,24534301,57844131,387175347,7,other
3,24534301,57844131,24534301,8,origin
4,248825544,316419034,316419034,1,destination
4,248825544,316419034,918209348,2,other
4,248825544,316419034,832722601,3,other
4,248825544,316419034,387175347,4,other
4,248825544,316419034,248825544,5,origin
5,362859666,316419034,316419034,1,destination
5,362859666,316419034,230856687,2,other
5,362859666,316419034,918544568,3,other
5,362859666,316419034,53657788,4,other
5,362859666,316419034,188609814,5,other
5,362859666,316419034,672120753,6,other
5,362859666,316419034,144964080,7,other
5,362859666,316419034,918209348,8,other
5,362859666,316419034,918544568,9,other
5,362859666,316419034,53657788,10,other
5,362859666,316419034,362859666,11,origin
6,551232467,993578920,993578920,1,destination
6,551232467,993578920,230856687,2,other
6,551232467,993578920,918544568,3,other
6,551232467,993578920,53657788,4,other
6,551232467,993578920,188609814,5,other
6,551232467,993578920,672120753,6,other
6,551232467,993578920,144964080,7,other
6,551232467,993578920,918209348,8,other
6,551232467,993578920,918544568,9,other
6,551232467,993578920,53657788,10,other
6,551232467,993578920,551232467,11,origin
7,611021628,483561169,483561169,1,destination
7,611021628,483561169,230856687,2,other
7,611021628,483561169,918544568,3,other
7,611021628,483561169,53657788,4,other
7,611021628,483561169,188609814,5,other
7,611021628,483561169,672120753,6,other
7,611021628,483561169,144964080,7,other
7,611021628,483561169,918209348,8,other
7,611021628,483561169,918544568,9,other
7,611021628,483561169,53657788,10,other
7,611021628,483561169,611021628,11,origin
8,784842209,57844131,57844131,1,destination
8,784842209,57844131,918209348,2,other
8,784842209,57844131,832722601,3,other
8,784842209,57844131,387175347,4,other
8,784842209,57844131,784842209,5,origin
9,692502699,483561169,483561169,1,destination
9,692502699,483561169,230856687,2,other
9,692502699,483561169,918544568,3,other
9,692502699,483561169,53657788,4,other
9,692502699,483561169,188609814,5,other
9,692502699,483561169,832722601,6,other
9,692502699,483561169,387175347,7,other
9,692502699,483561169,692502699,8,origin
10,495305457,483561169,483561169,1,destination
10,495305457,483561169,230856687,2,other
10,495305457,483561169,918544568,3,other
10,495305457,483561169,53657788,4,other
10,495305457,483561169,188609814,5,other
10,495305457,483561169,832722601,6,other
10,495305457,483561169,387175347,7,other
10,495305457,483561169,495305457,8,origin
11,747625040,483561169,483561169,1,destination
11,747625040,483561169,230856687,2,other
11,747625040,483561169,918544568,3,other
11,747625040,483561169,53657788,4,other
11,747625040,483561169,188609814,5,other
11,747625040,483561169,672120753,6,other
11,747625040,483561169,144964080,7,other
11,747625040,483561169,918209348,8,other
11,747625040,483561169,918544568,9,other
11,747625040,483561169,53657788,10,other
11,747625040,483561169,747625040,11,origin
12,461266979,316419034,316419034,1,destination
12,461266979,316419034,230856687,2,other
12,461266979,316419034,918544568,3,other
12,461266979,316419034,53657788,4,other
12,461266979,316419034,188609814,5,other
12,461266979,316419034,672120753,6,other
12,461266979,316419034,144964080,7,other
12,461266979,316419034,918209348,8,other
12,461266979,316419034,918544568,9,other
12,461266979,316419034,53657788,10,other
12,461266979,316419034,461266979,11,origin
13,87469735,316419034,316419034,1,destination
13,87469735,316419034,230856687,2,other
13,87469735,316419034,918544568,3,other
13,87469735,316419034,53657788,4,other
13,87469735,316419034,188609814,5,other
13,87469735,316419034,832722601,6,other
13,87469735,316419034,387175347,7,other
13,87469735,316419034,87469735,8,origin
14,631877779,993578920,993578920,1,destination
14,631877779,993578920,918209348,2,other
14,631877779,993578920,832722601,3,other
14,631877779,993578920,387175347,4,other
14,631877779,993578920,631877779,5,origin
15,592782420,483561169,483561169,1,destination
15,592782420,483561169,918209348,2,other
15,592782420,483561169,832722601,3,other
15,592782420,483561169,387175347,4,other
15,592782420,483561169,592782420,5,origin
16,48845116,57844131,57844131,1,destination
16,48845116,57844131,918209348,2,other
16,48845116,57844131,832722601,3,other
16,48845116,57844131,387175347,4,other
16,48845116,57844131,48845116,5,origin
17,738383798,483561169,483561169,1,destination
17,738383798,483561169,230856687,2,other
17,738383798,483561169,918544568,3,other
17,738383798,483561169,53657788,4,other
17,738383798,483561169,188609814,5,other
17,738383798,483561169,672120753,6,other
17,738383798,483561169,144964080,7,other
17,738383798,483561169,918209348,8,other
17,738383798,483561169,918544568,9,other
17,738383798,483561169,53657788,10,other
17,738383798,483561169,738383798,11,origin
18,931784133,581313122,581313122,1,destination
18,931784133,581313122,230856687,2,other
18,931784133,581313122,918544568,3,other
18,931784133,581313122,53657788,4,other
18,931784133,581313122,188609814,5,other
18,931784133,581313122,672120753,6,other
18,931784133,581313122,144964080,7,other
18,931784133,581313122,918209348,8,other
18,931784133,581313122,918544568,9,other
18,931784133,581313122,53657788,10,other
18,931784133,581313122,931784133,11,origin
19,13452006,57844131,57844131,1,destination
19,13452006,57844131,230856687,2,other
19,13452006,57844131,918544568,3,other
19,13452006,57844131,53657788,4,other
19,13452006,57844131,188609814,5,other
19,13452006,57844131,832722601,6,other
19,13452006,57844131,387175347,7,other
19,13452006,57844131,13452006,8,origin
20,590063067,57844131,57844131,1,destination
20,590063067,57844131,230856687,2,other
20,590063067,57844131,918544568,3,other
20,590063067,57844131,53657788,4,other
